R,G,B
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
0,0,120
